hsa-miR-101-1,hsa-miR-103a-1,hsa-miR-103a-2,hsa-miR-122,hsa-miR-124-2,hsa-miR-124-3,hsa-miR-125a-5p,hsa-miR-126-3p,hsa-miR-127-3p,hsa-miR-128-1,hsa-miR-128-2,hsa-miR-129-1,hsa-miR-130a-3p,hsa-miR-133b,hsa-miR-134-5p,hsa-miR-135a-2,hsa-miR-138-1,hsa-miR-138-2,hsa-miR-139-5p,hsa-miR-144-3p,hsa-miR-147a,hsa-miR-148a-3p,hsa-miR-148b-3p,hsa-miR-149-5p,hsa-miR-150-5p,hsa-miR-152-3p,hsa-miR-153-1,hsa-miR-154-5p,hsa-miR-15a-5p,hsa-miR-16-1,hsa-miR-16-2,hsa-miR-181c-5p,hsa-miR-183-5p,hsa-miR-185-5p,hsa-miR-187-3p,hsa-miR-190a,hsa-miR-192-5p,hsa-miR-194-2,hsa-miR-195-5p,hsa-miR-196a-1,hsa-miR-197-3p,hsa-miR-199a-1,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-203a,hsa-miR-204-5p,hsa-miR-210-3p,hsa-miR-211-5p,hsa-miR-212-3p,hsa-miR-216a,hsa-miR-217-5p,hsa-miR-218-1,hsa-miR-218-2,hsa-miR-219a-1,hsa-miR-219a-2,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-23a-3p,hsa-miR-24-2,hsa-miR-25-3p,hsa-miR-26a-1,hsa-miR-26a-2,hsa-miR-26b-5p,hsa-miR-299,hsa-miR-29b-1,hsa-miR-30a,hsa-miR-30b-5p,hsa-miR-30c-1,hsa-miR-30c-2,hsa-miR-30d-5p,hsa-miR-31-5p,hsa-miR-32-5p,hsa-miR-326,hsa-miR-330-3p,hsa-miR-34b-5p,hsa-miR-375-3p,hsa-miR-377-3p,hsa-miR-382-5p,hsa-miR-429,hsa-miR-455-5p,hsa-miR-485,hsa-miR-495-3p,hsa-miR-503-5p,hsa-miR-504-5p,hsa-miR-516b-1,hsa-miR-622,hsa-miR-7-2,hsa-miR-9-1,hsa-miR-93-5p,hsa-miR-98-5p,hsa-miR-99a-5p,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7c,hsa-let-7d-5p,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g
78.26598,38.1567,81.39669,20.78272,35.29316,8.89736,157.23423,11.55513,99.42263,58.97155,59.39875,149.7745,22.43741,41.72629,48.46546,2.44175,194.64898,39.37752,231.13722,76.23425,91.54676,1.82343,128.15893,167.18568,87.66218,41.78985,20.77574,18.6895,675.94076,63.84307,15.37351,80.36222,34.65829,166.97662,121.12352,1.81331,49.54613,153.0157,73.2215,88.066,155.21609,4.46397,12.83269,65.7047,57.91397,309.71802,93.37205,536.64921,153.39184,196.29974,13.36379,6.66777,14.18574,58.0525,723.9516,78.46032,49.35345,13.87696,639.41232,225.97077,49.04408,112.64683,46.7428,41.54436,82.65662,13.8659,13.31209,15.02971,28.89773,131.92498,46.83764,37.97897,43.93788,53.29232,562.53044,47.06412,26.80619,217.11639,7.41033,24.21917,71.66783,49.04412,35.84638,1.66206,22.31012,76.47241,4.99051,452.30662,55.4121,27.21595,61.29407,37.11547,45.48549,74.97597,46.85644,15.60992,94.41798,119.49049,32.48656,119.14612
28.36676,34.14955,65.50062,27.98656,38.16542,5.36007,134.46083,10.40028,108.54533,90.83395,64.30681,167.34771,39.0266,34.78838,62.04602,5.02418,169.69617,58.29622,211.34909,38.06543,87.38811,4.92617,93.63127,176.17468,89.33584,59.5043,19.31445,22.76982,637.21885,63.26187,32.03999,74.15144,31.08834,142.38155,124.08441,3.17289,54.41876,151.38327,68.69188,103.24934,149.71707,1.42315,10.54203,81.49782,73.67364,332.73656,82.30318,448.45688,124.45625,167.1428,19.79849,9.89329,18.24664,66.54462,718.37002,69.75296,48.79667,13.94109,177.04943,206.91506,44.77177,139.09511,54.34619,24.98802,95.66319,14.014,14.62748,11.04294,33.30246,108.35261,35.52638,24.86594,37.82743,51.12501,559.18632,57.366,33.65973,212.68547,24.54477,41.98191,61.43215,74.78515,47.7168,5.96841,42.02234,104.70777,12.46061,306.10176,70.61326,39.73487,49.57118,33.69332,53.51784,60.83407,38.83781,7.28984,96.81769,104.79423,26.87258,96.91575
71.96839,34.51309,103.96069,15.1413,49.50511,8.04052,216.49799,12.00858,173.94083,80.82024,81.44205,226.80988,50.77256,55.34101,65.75237,5.83693,318.52638,54.06685,400.10083,32.64922,131.12941,10.19028,173.1507,221.89486,163.8888,69.93977,25.26984,17.33587,412.75674,51.68922,23.2363,123.91211,36.8231,227.72439,146.77574,2.98172,79.22214,202.71044,134.50951,108.40878,251.92915,13.71942,13.02666,109.55023,108.58862,323.1443,144.83557,496.08517,263.52303,234.48712,29.82495,16.5232,18.25516,64.36822,636.53621,103.96284,75.379,31.1041,618.45811,320.95993,67.81587,165.7091,77.38324,47.85078,119.21767,12.74435,26.79972,19.81359,39.94851,178.55697,61.04793,29.535,64.03911,64.03767,778.90136,85.14573,47.26953,252.86746,15.41674,29.69387,153.64689,118.21028,70.05056,5.62282,51.51492,146.27475,27.57347,412.65675,87.6009,59.14462,98.68793,32.20579,65.11666,87.17572,37.44355,7.35617,102.56519,103.28652,24.03457,137.77223
66.20279,50.65681,82.32447,12.25864,55.16519,15.44274,200.00715,15.98004,113.64121,73.22444,77.59222,183.47753,38.83788,49.73057,49.89554,12.50887,274.59433,57.80327,281.35408,58.37109,108.7478,5.16342,121.19499,206.55004,114.72787,69.1831,28.93844,16.98167,737.88643,67.77866,30.59044,98.11702,54.4865,170.21214,130.27248,4.2759,60.48786,147.98796,90.03793,111.09242,200.57726,6.80168,12.64758,85.01733,86.79538,313.66497,98.34694,513.10936,201.19214,222.72513,22.31086,8.96965,11.9641,82.5373,755.60299,89.64927,46.65408,22.78817,489.5378,260.84474,43.80031,127.46539,61.87012,33.76568,99.37285,13.64814,19.67091,19.58704,30.34148,132.49143,60.99688,32.53543,58.09635,56.71495,672.98433,72.44651,37.72279,357.26225,19.75438,35.96766,87.47291,81.07797,55.349,7.57335,38.51399,103.69764,12.48331,427.9419,78.13127,40.52496,87.94078,27.68281,74.04428,69.02417,57.80046,5.99444,117.1621,125.04757,34.58181,143.85652
71.85644,42.15494,87.0038,15.50089,48.55521,16.67944,149.24845,16.30846,107.20567,64.14941,54.23464,158.61909,38.143,53.07903,72.87046,4.16984,200.64577,37.52799,245.80714,48.55925,88.81162,7.45192,132.73285,185.20667,94.95786,56.15133,16.43022,20.74443,810.45815,67.10485,24.43889,80.16481,27.46538,165.82517,129.15961,5.45526,47.12632,131.71361,84.9009,100.50452,181.66988,4.18095,25.19464,88.90655,72.31454,287.64519,79.10451,481.72441,148.00047,175.77687,15.58457,6.0988,20.04847,66.26174,555.22576,94.77936,51.52502,20.99184,565.39764,234.06787,41.90535,140.38823,49.74609,37.27892,103.89685,16.54492,34.4172,16.60821,26.66481,112.76601,46.67304,42.68467,55.94048,69.62223,606.7521,55.13223,33.41298,225.96036,14.20921,37.5536,64.17853,69.00451,42.7185,5.95351,42.78543,115.5512,14.21675,363.59414,64.57643,39.9003,68.73868,36.72317,51.1624,74.14373,45.75862,9.89479,112.38107,158.13124,40.82374,154.19559
64.59808,46.29024,60.07209,11.55173,32.80961,15.02822,173.54076,16.62141,104.15101,72.82593,83.17037,172.63625,25.86139,48.13233,72.63812,2.32497,183.16227,48.43094,222.73516,62.56024,86.82024,7.55161,72.1304,183.88664,108.18058,52.49797,14.19996,25.68608,593.86971,47.0208,20.31529,81.396,28.88511,150.49511,128.1271,5.90106,51.45223,117.14236,68.72211,115.13632,157.37357,0.70836,23.19412,89.62083,91.13273,308.74987,109.41317,540.80054,129.82031,192.67426,14.34828,5.77352,16.78264,70.2471,803.00076,81.5939,52.23914,17.0499,833.27263,224.80074,40.19901,148.35506,40.98047,23.73345,126.08237,16.45686,18.35983,10.37535,20.85237,100.149,28.08584,35.70922,35.29781,48.30211,632.12989,42.40095,23.96925,208.92931,18.67983,41.27661,65.96148,47.61575,60.89643,6.56857,45.74678,103.64508,4.10777,348.83608,74.02005,36.25306,43.16573,40.78687,46.56866,76.091,35.56205,9.66104,82.62689,122.46871,30.33525,118.83908
77.91753,45.01533,98.56748,16.03851,50.41605,19.35251,128.94708,20.24194,102.34784,58.92825,58.4886,147.58766,32.91999,76.3886,54.92733,3.90936,227.87662,28.67031,241.18449,54.26276,109.08933,5.56245,120.69216,167.95352,93.27894,62.37413,20.07865,19.55476,613.17785,52.98649,19.86812,107.2362,23.15557,199.50275,100.10964,1.33804,70.24922,133.44989,77.34767,93.34833,209.5505,3.74529,15.15713,91.73703,78.75482,287.86109,85.48015,410.68393,173.67638,179.28945,25.62583,2.73774,5.80879,58.84654,498.05561,68.77729,35.55557,26.62292,968.36229,250.70593,51.50637,135.1642,51.65076,34.63766,112.21464,14.00033,22.30259,17.53539,20.69825,119.33439,45.11388,44.54966,40.29585,46.43478,613.13229,50.84686,31.36664,215.1051,12.16517,29.58929,62.8533,76.34304,46.24108,10.86196,35.73829,113.28587,18.08719,385.23542,68.79285,35.9747,72.24519,34.54737,52.52099,74.52222,35.14349,8.9053,86.16231,116.23769,46.38488,144.62795
63.05868,25.44829,37.25766,21.84411,33.15359,23.15799,158.33248,16.86229,108.46905,71.17293,64.36395,165.37747,39.59896,70.2197,46.41967,8.46203,212.95367,41.28345,178.32049,21.86944,90.97895,6.13744,59.19377,165.38944,121.99795,53.71316,17.90115,22.81472,517.27235,36.27027,17.07834,85.61113,19.54597,172.70046,123.59389,8.71412,65.05694,116.4182,46.80759,99.76442,147.81675,4.48301,28.02676,77.86989,89.77519,291.35001,75.55641,451.37024,128.40367,163.0384,11.787,2.80569,21.98588,52.18296,801.4532,72.68133,57.99983,11.84761,553.52117,244.93235,55.0111,137.15739,56.26121,21.43399,130.44417,15.11743,13.89522,3.43582,24.22995,83.24946,27.64165,49.5779,34.277,38.33712,646.37737,45.52406,27.0262,261.85096,20.37599,43.23564,57.87957,51.13454,51.75111,1.05721,38.78257,85.63592,13.41663,239.01448,44.78978,46.08045,54.96622,41.46811,45.9678,75.33816,43.1874,9.2547,65.42802,155.99719,60.41024,92.9907
57.70387,38.63197,59.98423,16.01945,37.81504,18.46254,213.96992,18.1207,130.77124,68.56593,83.91642,187.44817,45.32241,63.53694,69.52229,4.87752,304.1412,51.92463,321.03808,49.39547,110.79548,7.44319,116.25429,194.24359,141.38733,53.05255,23.61322,21.83036,395.60044,50.01197,24.11347,101.10821,44.63936,223.01906,133.6117,11.01016,62.8168,166.00441,107.65035,99.43745,252.70414,5.11491,24.71829,98.05568,107.20834,338.30096,135.39182,458.60548,215.09071,233.26156,20.79695,8.65381,11.72231,83.28335,753.3169,72.92397,51.93322,24.31161,723.33007,299.95561,51.7913,143.95366,72.03792,19.48022,126.91925,14.86387,15.65356,26.132,28.88548,156.46761,40.08131,40.62059,44.41388,46.68679,687.8348,87.93969,41.14316,353.87923,12.0938,42.44206,75.86956,86.16902,65.60184,11.90428,48.81238,144.24579,17.10754,386.17245,91.83451,63.69062,70.21156,37.65149,59.36012,79.07737,61.37393,12.40271,117.0849,138.35376,42.6781,111.6606
68.23865,22.89349,109.28615,18.70729,43.40201,11.70123,185.23987,20.16779,113.63667,62.18233,59.27391,183.36875,43.4576,62.06133,57.49308,7.71192,302.08761,57.9693,315.88376,53.69518,138.42901,8.62007,102.62539,205.52186,134.94502,66.63272,20.30187,21.93242,215.44777,58.70849,34.6433,103.1049,34.15384,250.92646,131.93772,1.74228,57.90522,171.8722,118.77894,108.5229,221.79532,5.16954,18.11262,116.97636,130.10774,382.56391,120.63514,468.2328,233.89653,288.5188,23.35831,8.16329,18.51159,72.20443,725.91099,82.754,44.57253,24.5005,829.8349,280.87936,64.68147,144.40009,73.09938,49.28175,131.16394,15.27252,36.16435,13.16236,26.598,143.53464,38.91151,43.62307,30.53028,40.08821,715.17358,46.69999,26.04992,328.13003,17.34044,22.80053,136.10573,103.01276,43.54158,10.56707,46.05689,127.17999,9.98382,382.11497,75.63055,56.12446,80.89241,29.33096,56.15325,85.70136,36.29549,16.4218,85.50265,81.48801,44.14604,132.38085
