miRNA,lncRNA
AC097452,RP1.78B3
AC234031,RP11.94C24
AL021394,RP11.339A11.2
AL121652,RP11.725D20.1
AL121932,RP11.214L19.1
AL391123,AL133243
FP236240,RP11.471B22
FP236383,RP11.527D7.1
FP671120,RP11.298O21.6
FP671120,RP11.527D7.1
FP671120,RP3.468B3.3
hsa-let-7a-2,CG4053
hsa-let-7a-2,AASDHPPT
hsa-let-7a-2,ABCC10
hsa-let-7a-2,AC005498.3
hsa-let-7a-2,AC006273.5
hsa-let-7a-2,AC006465.3
hsa-let-7a-2,AC006547.13
hsa-let-7a-2,AC007796.1
hsa-let-7a-2,AC009120.6
hsa-let-7a-2,AC009133.12
hsa-let-7a-2,AC009299.3
hsa-let-7a-2,AC018766.6
hsa-let-7a-2,AC020663.1
hsa-let-7a-2,AC025171.1
hsa-let-7a-2,AC034102.1
hsa-let-7a-2,AC068057.2
hsa-let-7a-2,AC074117.10
hsa-let-7a-2,AC084018.1
hsa-let-7a-2,AC091729.9
hsa-let-7a-2,AC098973.1
hsa-let-7a-2,ACADVL
hsa-let-7a-2,ACSF3
hsa-let-7a-2,ACTL6A
hsa-let-7a-2,ACTR3
hsa-let-7a-2,ADAM15
hsa-let-7a-2,ADCY7
hsa-let-7a-2,AFG3L1P
hsa-let-7a-2,aHIF
hsa-let-7a-2,AL133458.1
hsa-let-7a-2,ALG13
hsa-let-7a-2,AMDHD2
hsa-let-7a-2,ANLN
hsa-let-7a-2,AP001053.11
hsa-let-7a-2,AP1G2
hsa-let-7a-2,ARF4
hsa-let-7a-2,ARHGDIA
hsa-let-7a-2,ARID2
hsa-let-7a-2,ARRB2
hsa-let-7a-2,ASCC1
hsa-let-7a-2,ATXN3
hsa-let-7a-2,AUP1
hsa-let-7a-2,BAZ2A
hsa-let-7a-2,BZRAP1.AS1
hsa-let-7a-2,C11orf30
hsa-let-7a-2,C14orf80
hsa-let-7a-2,C15orf40
hsa-let-7a-2,C16orf93
hsa-let-7a-2,C19orf48
hsa-let-7a-2,C19orf55
hsa-let-7a-2,C1orf43
hsa-let-7a-2,C20orf24
hsa-let-7a-2,C22orf29
hsa-let-7a-2,C2CD3
hsa-let-7a-2,C7orf55
hsa-let-7a-2,C9orf37
hsa-let-7a-2,CAND1
hsa-let-7a-2,CASC3
hsa-let-7a-2,CASC7
hsa-let-7a-2,CCNE2
hsa-let-7a-2,CD46
hsa-let-7a-2,CDK2
hsa-let-7a-2,CDKN1A
hsa-let-7a-2,CEP112
hsa-let-7a-2,CLDN11
hsa-let-7a-2,CMTM7
hsa-let-7a-2,COPA
hsa-let-7a-2,COPB1
hsa-let-7a-2,COPE
hsa-let-7a-2,COPG2
hsa-let-7a-2,COQ10B
hsa-let-7a-2,COX10.AS1
hsa-let-7a-2,COX11
hsa-let-7a-2,CS
hsa-let-7a-2,CSNK1D
hsa-let-7a-2,CTB.113P19.4
hsa-let-7a-2,CTD.2196E14.4
hsa-let-7a-2,CTD.2516F10.2
hsa-let-7a-2,CTDSPL2
hsa-let-7a-2,CUL2
hsa-let-7a-2,CYHR1
hsa-let-7a-2,DDX31
hsa-let-7a-2,DERL3
hsa-let-7a-2,DMTF1
hsa-let-7a-2,DOPEY1
hsa-let-7a-2,DPY19L3
hsa-let-7a-2,DYM
