"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104"
"hsa.miR.1.1",6.79677,11.56326,4.21898,8.02281,5.9757,4.86242,4.1696,8.70045,6.99065,12.05224,8.4793,4.98331,7.26048,8.21849,6.26319,3.38725,6.04077,5.13395,4.93853,3.56864,6.00707,4.18684,7.56237,6.8316,6.72247,5.91759,4.59566,5.86708,5.43859,4.791,2.97289,5.7832,5.47868,6.71451,4.98115,8.93833,5.74304,5.83378,5.88542,6.85434,5.97068,4.73108,7.08021,5.74182,3.3735,4.01737,4.05724,7.22564,6.57265,5.4801,7.69783,5.53298,5.39421,5.58316,7.43603,3.11632,6.31058,9.32294,4.71394,5.48694,6.02903,4.87593,2.70738,3.53574,4.91503,9.53408,8.54743,6.04605,8.22709,7.46506,7.04167,8.82295,3.08174,3.79382,11.63684,2.39055,4.35358,4.29083,7.82634,2.56933,6.65766,6.34284,4.29824,3.50354,6.9611,3.91097,5.28181,4.07984,7.5287,3.68239,8.33581,4.97645,2.28397,9.46558,17.01063,2.4293,7.18649,7.16889,6.03748,1.0393,9.48262,6.51853,3.10035,4.61929
"hsa.miR.100.5p",5.82436,4.45959,5.37058,7.22711,7.34868,4.31794,8.17941,3.99671,12.88599,7.50519,3.63289,4.20299,1.77578,5.13743,4.02715,7.63386,6.87412,4.98198,4.06678,8.03277,4.97734,7.94824,5.81092,7.15739,5.69757,4.01001,6.01492,4.07584,6.75796,2.58772,5.61751,1.39386,7.81105,4.38924,5.3753,4.5933,5.47444,3.68407,6.11657,2.33637,7.7358,5.49918,5.0493,9.75404,4.68238,6.38207,4.48269,5.77465,6.44206,3.22924,4.73021,5.95828,6.92169,3.90257,6.50162,6.15266,5.31362,2.56277,6.6441,5.87139,1.63968,8.38226,11.20717,5.86131,3.52345,4.20297,5.39682,6.73629,4.15785,8.3673,2.91207,5.17274,13.22822,4.62785,5.49076,15.22997,8.49975,5.42797,11.53857,2.04258,3.99037,3.11501,5.6508,2.75803,4.46429,7.50876,3.22087,9.65635,3.90432,0.34587,4.08938,6.36288,3.75457,4.4623,8.4884,5.40028,6.75216,10.51473,6.9473,2.21064,8.17262,7.83925,3.25086,8.33625
"hsa.miR.101.1",78.26598,28.36676,71.96839,66.20279,71.85644,64.59808,77.91753,63.05868,57.70387,68.23865,82.66875,60.75052,66.0138,65.35264,84.05833,59.61502,57.39839,88.20612,91.28485,49.43192,62.30367,67.90943,118.33074,83.08414,75.71769,58.25356,76.02968,48.8587,101.75189,68.82685,84.05335,67.60017,98.07929,84.58567,125.13443,80.24352,127.86465,141.55518,100.19496,91.66366,53.38153,94.66747,104.02835,65.37979,76.11509,66.64342,87.76621,56.12125,88.91388,59.67362,74.28332,90.96945,64.62509,90.04895,75.22179,112.17355,96.31379,49.0358,59.21267,75.98354,93.70231,66.54645,51.42987,44.72789,74.93965,96.50067,53.44302,60.24313,57.93928,56.34401,72.93752,106.93617,35.71003,59.0435,85.74402,58.68896,113.47055,68.36764,94.56245,156.69231,73.45084,102.16672,51.07458,118.75061,120.58079,116.20973,81.63598,55.5745,107.37227,67.46118,149.56737,81.75107,39.0959,140.00076,87.81999,139.2973,95.47733,73.87824,86.68571,57.36535,79.15884,84.84073,71.70179,70.73272
"hsa.miR.101.2",4.26777,5.47123,7.14152,8.81868,3.03659,4.2325,6.13976,6.0377,6.62992,6.16028,6.81826,4.26558,3.90015,4.93868,3.39053,1.88041,2.4969,11.50882,4.94358,5.51414,3.44942,7.551,7.10305,5.92583,2.72599,5.44299,6.19322,7.94753,7.47387,3.7702,1.23068,8.40441,4.12309,4.19246,6.55157,4.99391,7.50002,6.3585,5.62386,5.9456,4.55437,4.54436,2.86532,7.11914,6.07941,2.67931,6.9683,9.25256,3.59131,4.33738,6.862,3.51881,6.10229,3.46743,4.35688,5.43907,6.5048,6.69656,5.98738,9.48406,2.77109,3.25176,4.78,0.72233,5.47447,5.82071,5.82339,5.16039,11.68412,5.46324,7.00788,2.89899,3.57751,8.42603,0.01479,4.55327,2.64831,4.06436,9.56913,7.90672,2.84188,5.31403,4.31605,8.02491,4.35236,9.53356,1.16323,2.10741,6.92307,7.25738,11.1815,4.31279,0.71289,4.2853,5.73574,5.23021,3.92647,6.44003,10.27342,1.64988,8.90342,4.45186,2.06338,2.74924
"hsa.miR.103a.1",38.1567,34.14955,34.51309,50.65681,42.15494,46.29024,45.01533,25.44829,38.63197,22.89349,30.96354,46.39817,31.33276,38.48108,46.65984,47.49999,46.10895,44.95092,48.78279,67.27919,29.47729,43.32437,51.96908,52.25343,51.92231,47.89373,47.53701,36.96479,48.63477,50.76155,38.69569,50.12397,35.86046,48.12668,39.28405,40.31429,43.10408,41.63349,52.11788,45.76473,57.22726,39.31703,36.85923,49.80121,48.79082,50.33124,41.58828,38.99307,52.53766,45.23898,48.30918,46.77915,38.61564,53.81423,27.48031,43.62651,46.90077,41.42028,32.59747,45.45697,50.04614,54.32915,63.13675,20.27272,57.68869,47.62429,32.96368,42.52577,41.78794,42.8767,37.96507,54.08827,63.8921,49.04477,28.42461,66.61468,45.0514,37.89896,38.5937,60.33934,41.08095,41.56064,41.61753,35.26271,59.35687,46.72922,36.36829,53.94615,70.35798,46.44506,32.58783,58.38255,46.39995,65.75131,46.02058,65.02297,44.2929,61.26087,70.23569,42.67701,47.78691,43.74577,45.18873,41.81405
"hsa.miR.103a.2",81.39669,65.50062,103.96069,82.32447,87.0038,60.07209,98.56748,37.25766,59.98423,109.28615,100.96651,66.52566,81.53996,99.46423,134.12485,110.08083,97.50257,124.25845,114.57998,65.3354,81.43819,105.91878,151.00607,132.78056,121.6699,127.31025,92.36917,95.6514,128.40949,103.83162,87.32633,116.43761,92.70894,106.66877,123.33048,70.15871,121.36955,117.39841,126.51872,107.74678,76.31505,88.87975,125.97817,126.59854,123.35828,77.49679,107.04364,97.19528,123.02547,108.70884,118.28114,113.38283,100.09151,128.04769,83.16499,119.30021,107.59399,89.93487,92.00946,91.57336,154.09867,139.48447,85.02132,53.9509,110.5601,121.77832,67.29869,93.66337,81.82161,114.67234,129.12569,136.43268,97.04991,134.50622,140.33631,104.5866,158.00648,96.51626,110.8583,164.07218,78.94573,142.35584,94.83133,107.97393,144.607,135.35,71.87918,73.82702,149.43385,140.17351,149.31472,136.8562,46.27737,144.76456,92.87481,148.83406,128.20484,130.11246,105.25254,86.07418,113.89807,132.77477,122.94139,112.40835
"hsa.miR.106a.5p",2.45867,3.88161,3.97738,5.62684,8.07832,1.84412,4.92861,6.71122,3.89348,5.28577,3.80902,5.15176,6.00843,7.04411,4.56076,3.85695,3.43188,3.88297,3.72923,5.05954,4.08132,4.5127,4.31757,9.96286,2.35857,4.53966,5.25968,4.75253,5.6935,3.24883,3.9232,6.37088,4.94871,4.87532,5.28057,2.81366,5.76986,2.62665,4.51923,4.36324,5.88197,5.22154,4.72615,5.9813,4.55202,5.80052,5.80923,4.30171,1.77201,2.43175,6.64397,3.84627,5.23173,5.19089,4.77491,5.0725,5.19702,6.02557,3.67835,10.31967,5.49259,6.9314,4.19095,3.20196,6.33915,7.6176,9.62854,5.31946,8.61514,4.37038,7.35763,5.92976,5.62224,4.33188,7.416,3.64493,0.12008,5.32867,5.6386,9.28898,4.15884,3.77483,6.75714,1.84738,6.3112,3.8567,0.00269,6.03195,6.37914,2.71359,4.62075,3.38848,1.72191,6.78996,9.60512,2.29734,1.44845,5.8683,7.64254,3.44224,3.31099,5.03466,5.87193,5.53835
"hsa.miR.106b.5p",61.96271,66.51743,77.15805,71.08685,69.3895,50.63053,54.509,46.08298,61.01166,67.81336,63.33828,56.79865,66.64425,55.90636,54.5937,57.45264,72.85231,64.9547,57.30571,81.26773,78.75954,65.08891,52.21342,58.01447,56.97595,60.6827,66.8046,56.57948,65.54407,60.42184,90.18025,59.62186,64.72975,50.4687,61.85706,66.23053,52.18492,71.4123,64.51957,62.2314,75.6502,58.99014,46.355,52.13933,73.57277,72.39297,72.61174,61.23829,62.82403,66.04281,59.5417,67.5514,94.01416,67.09172,76.01885,60.86388,56.50831,63.13261,58.30929,62.23092,58.91001,64.35352,118.44306,69.82483,66.03642,68.11515,59.45079,64.48719,59.48644,74.2082,63.08307,65.04446,95.8629,60.09603,54.11174,138.74804,43.6679,87.74091,80.92743,44.26084,71.5439,55.22622,56.52262,47.89766,65.89958,68.85334,65.85353,76.50437,71.46833,51.145,49.42372,63.1105,60.14754,59.61009,48.33565,81.36208,62.68065,80.17019,68.87313,61.97505,86.39247,53.56514,64.91295,78.24507
"hsa.miR.107",44.01308,79.83828,89.55112,60.01953,55.02412,73.48366,69.55364,50.68725,91.22731,59.14848,53.73699,65.4109,72.391,52.83943,63.08187,61.37396,65.30947,72.45824,68.19349,81.41322,59.11534,81.0297,74.33211,76.82219,61.85231,73.14599,86.39593,58.22365,74.87222,73.29447,78.2749,60.64551,80.10801,65.04103,78.54479,78.44058,62.49788,92.72318,90.00853,82.3132,91.89924,74.52271,56.7742,68.21392,116.84448,85.70492,76.38725,65.14544,70.32313,74.87676,49.0556,85.16855,148.83004,58.82895,59.74745,67.39131,61.87902,55.89836,66.87679,77.63058,51.76809,91.11731,236.82957,65.31176,71.94885,93.15756,37.12869,51.29898,55.92258,83.59456,60.09938,48.67125,175.1691,53.97106,44.47846,205.54927,38.35908,111.36101,93.77088,59.73539,39.74265,79.06128,73.8943,54.9996,85.09353,95.47308,84.47287,74.89204,77.181,59.64696,59.93169,96.39055,64.78602,77.54681,67.85269,92.35276,64.90918,117.68072,80.49447,60.88854,135.04192,60.16694,70.01643,92.71102
"hsa.miR.10a.5p",13.13975,11.31865,14.6284,14.66582,14.43858,8.88801,19.87819,12.04953,15.64852,12.90895,15.15764,18.21895,20.22664,9.27417,11.92935,14.09426,14.5806,13.2743,14.05644,11.99216,16.69062,14.21308,12.54469,15.23182,9.94935,11.15055,9.97515,12.42801,10.06063,13.71285,13.81597,9.29952,10.87573,15.56805,13.38011,14.52634,14.40541,10.90979,12.35506,16.34845,15.88173,12.8336,15.15876,11.42704,11.55211,12.51391,13.52156,10.21917,13.1043,12.61293,6.20252,13.08495,24.45731,10.44074,14.4022,13.15788,10.47903,15.66068,15.01889,14.69843,11.73464,12.2588,9.82493,12.21678,12.76638,6.18446,9.21828,10.16135,9.90189,15.58318,13.40237,6.14892,3.57529,9.12902,26.90379,16.61088,5.78456,9.64413,4.05263,9.09351,7.61752,5.15633,6.55056,15.04109,1.90583,17.41069,5.15604,9.7185,6.11733,13.50062,3.3882,8.01696,10.2649,5.69631,7.70482,11.02429,3.97869,8.71568,11.2991,6.92581,5.3214,13.01956,6.69498,14.4216
"hsa.miR.10b",2.57426,1.69195,4.37262,2.93657,1.35752,3.46139,0.80441,2.40091,4.17421,2.51155,1.51892,1.02113,3.05282,0.04543,0.92664,1.83131,3.03835,2.38974,2.28167,1.82854,1.97303,5.31171,0.04908,3.06255,1.37357,1.55133,3.75044,1.18217,2.28109,1.64224,2.38228,2.50338,0.31612,3.37361,3.72802,2.31919,2.9605,1.6803,3.67591,5.22039,2.72393,1.88285,2.61929,2.23938,2.38391,3.18683,3.32257,1.77183,2.43462,3.31543,5.27023,2.26766,5.01866,2.80202,2.23229,2.7024,4.65803,0.00549,2.18034,1.74597,2.88759,2.28466,5.99391,2.14273,2.84701,0.86713,0.55233,1.26926,4.82361,3.62609,1.88224,1.20438,10.09851,0.00349,3.13132,6.26593,1.79946,2.68849,3.2124,2.07329,4.11298,3.5505,3.06457,6.75647,2.14515,4.02917,3.13285,0.00785,1.63858,0.00373,2.25176,3.02046,1.08286,2.84981,2.8726,0.64163,4.54176,1.49123,0.95266,3.45836,8.03618,1.86888,4.04058,2.71057
"hsa.miR.122",20.78272,27.98656,15.1413,12.25864,15.50089,11.55173,16.03851,21.84411,16.01945,18.70729,10.89202,12.54129,15.92048,14.06363,12.99904,15.49138,18.51783,14.11797,16.02273,25.28142,19.02985,16.9342,18.94604,16.91718,16.33416,18.93367,21.23598,9.49976,17.10622,19.11109,22.92159,11.84045,17.31414,16.66845,21.00533,17.25817,9.84558,20.11668,23.95781,12.76295,20.71447,11.51651,16.72793,15.21447,21.98795,26.18993,14.68203,20.53064,15.81996,15.37291,7.50558,13.68142,33.96265,18.49063,13.98302,19.85234,14.4567,16.86948,14.62332,12.86206,10.74258,22.75869,40.46427,18.5842,20.02493,18.56739,10.11746,16.81249,13.87956,20.02212,14.83678,15.94837,20.71199,18.7043,8.4976,45.97979,18.45601,19.8955,31.58929,11.8021,13.56053,13.22511,13.55421,14.44144,24.69394,21.36351,18.99968,18.66616,24.53677,15.61414,12.48793,10.65511,11.2978,16.29949,12.89918,21.59942,16.47616,20.73983,21.19293,21.89004,25.3888,14.18606,20.40731,19.40275
"hsa.miR.124.1",6.02028,7.82632,7.70908,11.54238,9.04618,7.62395,8.77411,3.89066,10.34781,12.19259,10.36467,3.94481,6.04508,5.12293,6.0674,8.28484,9.26451,3.49018,7.96848,3.12653,9.64957,12.7694,6.99715,8.99476,11.19688,7.85796,3.29902,3.78515,9.23384,13.62931,8.24845,8.02343,16.19602,10.86407,10.38722,4.21351,8.47189,12.93567,11.98364,9.31441,7.03169,9.50281,5.2965,7.8217,6.1384,6.82513,13.05523,16.709,13.0374,5.24024,15.68884,11.84131,11.41374,8.42087,11.66022,4.50308,12.15242,9.1851,11.74543,10.66969,11.57735,8.7267,17.21535,5.11533,7.42159,8.90851,9.54069,7.47146,16.30871,10.31797,7.33842,0.07351,3.98261,0.56883,0.01044,2.94323,13.99804,9.97073,16.52219,16.07613,11.44411,4.80617,0.48594,16.55922,10.4789,10.82076,13.82353,6.91656,16.88038,17.77873,17.32719,9.52426,7.40802,16.74339,11.71641,11.15583,7.93548,18.01101,9.21251,4.791,20.49269,7.78386,2.95914,12.63955
