"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
"hsa.miR.1.1",2.88302,4.58373,4.73178,6.97449,4.62609,5.13938,5.00646,5.22555,5.84532,5.89824,8.93569,9.31439,6.71817,10.52449,9.1942,6.2756,6.29007,7.05928,5.82961,4.86677,2.81027,4.9286,3.02394,5.91806,4.591,4.4182,10.39963,4.45476,4.76009,6.33364,7.75667,5.402,4.49739,6.10286,3.4747,4.75654,2.99513,6.21346,7.30767,3.67266,6.83643,6.06407,6.53781,3.93675,4.00206,6.70047,23.37865,3.20046,4.99569,4.10061,6.80402,9.27939,6.91191,3.77389,7.23624,2.31142,5.92809,3.97119,18.75264,3.0064,3.91638,2.56125,6.38946,5.46357,17.0087,9.42203,10.29319,5.48194,3.56661,4.42097,2.90442,1.48702,1.95562,1.52866,1.44851,1.98495,1.4243,1.73683,1.71631,2.88234,1.77436,2.26386
"hsa.miR.100.5p",8.9258,4.80815,8.8943,5.89134,3.9671,3.00844,5.23012,8.26425,4.90478,2.91227,4.81536,5.28733,2.98806,6.39222,4.74333,5.08346,5.34496,8.27102,5.97871,5.1577,5.46053,6.05216,4.20413,4.17077,6.29628,3.57488,5.77263,6.84374,5.60025,9.08324,3.99244,3.8057,4.52412,8.839,9.25253,6.08836,5.41698,3.21323,8.83887,7.51293,5.09804,2.77793,1.12334,6.86335,7.52227,6.19764,15.65938,8.55003,1.32419,11.4105,3.29907,3.64008,10.71956,5.99599,4.58235,12.80551,5.48651,3.78989,9.06041,8.40267,2.66915,2.86332,3.78222,5.69488,5.17797,4.89484,8.43572,6.25658,6.79275,2.84218,12.79558,7.96582,9.08965,4.82334,10.75154,6.88055,4.67772,7.2853,9.09396,7.41409,5.53852,6.20824
"hsa.miR.101.1",57.03318,80.44501,59.94081,58.55731,76.8182,62.33764,73.33356,53.84336,87.27745,46.11094,90.46208,115.81503,69.30016,77.47685,54.54704,49.2182,72.67944,56.96196,122.67981,67.8641,58.096,98.40482,31.73112,72.78314,79.461,49.85015,66.58619,72.2972,88.78072,90.02554,42.92359,88.7533,38.20646,56.43211,51.00226,99.75618,63.58714,83.99777,73.40901,67.46682,56.49763,95.20763,93.31231,48.88389,155.47233,79.77054,56.20588,79.47001,42.23105,65.57232,90.28989,121.22201,57.08411,69.70694,120.76257,104.23059,67.69833,60.9332,89.05187,92.20476,52.21106,83.17818,42.54588,95.75743,40.69889,78.38484,110.33459,21.89989,59.27957,116.72774,49.99424,78.3906,61.61189,71.5295,53.58684,54.6519,62.47698,49.14355,52.64582,50.30172,53.31715,63.95829
"hsa.miR.101.2",6.40281,4.60379,3.56102,2.12296,5.87074,7.6352,2.92575,1.2079,4.7434,4.84359,3.27536,4.83468,7.83627,10.06501,3.87768,11.47144,9.83866,5.58597,9.0284,5.18098,4.80414,7.3821,4.44313,3.70293,5.35701,4.16019,7.52281,3.10452,7.62506,7.39641,2.11988,7.78811,5.37828,7.22025,5.10803,5.89742,4.28328,5.6204,5.5388,3.07452,6.56947,5.24294,3.56222,6.29338,3.8837,4.94742,11.79342,4.7114,0.24414,5.38693,8.20084,14.26004,6.05578,6.869,2.40082,4.98619,4.28579,3.18678,6.21917,3.55117,0.74118,2.42879,8.61883,1.91751,12.74385,7.87848,13.89176,6.15383,1.32235,5.88323,1.78056,4.2973,2.77388,2.21145,3.9559,2.10461,3.89716,3.18433,1.85863,3.50185,4.96591,2.51016
"hsa.miR.103a.1",44.25042,35.71967,44.33752,39.85923,28.78462,40.3695,44.89394,43.00393,35.64931,30.81528,53.25404,54.49387,52.46736,35.35512,46.5693,36.30117,36.94748,46.24561,39.92215,38.03323,51.85327,47.79422,39.84987,62.76828,38.95898,33.65719,43.59139,30.13558,40.14167,35.28587,38.19894,51.15518,50.96992,59.61627,48.15425,67.31038,43.54294,57.79123,58.71341,54.28329,49.79292,44.26497,45.94277,57.84134,50.80238,34.5731,60.26492,32.45819,40.63389,47.54569,68.04623,36.7718,46.14249,53.75535,45.58426,41.46231,60.37225,52.48278,31.77019,47.26928,42.83087,38.67664,28.81402,50.0287,49.6967,44.03038,78.77278,55.06227,50.12836,61.36348,32.68488,35.23941,34.02477,26.18066,30.50915,25.14502,32.97955,21.46532,24.51938,22.58854,32.02438,27.06949
"hsa.miR.103a.2",94.36997,90.1145,71.6475,79.70769,79.91644,80.93946,91.88132,75.96564,156.97715,63.54322,135.85846,128.2984,92.62226,97.78144,118.98742,92.64063,97.35685,81.99196,109.65322,75.07114,77.64496,123.09299,55.22242,109.36782,84.47596,58.6737,97.57226,88.05564,128.89181,121.30872,76.6574,114.82633,67.73894,99.95465,89.56647,126.44225,96.27756,101.58089,108.53513,113.65642,77.18297,92.98306,121.51735,86.43297,147.85616,95.11279,131.75138,134.97073,82.75235,89.58155,109.96207,162.4,145.82363,119.20625,104.54546,109.23313,125.8497,97.9202,90.28685,120.8546,106.2556,118.5322,89.03192,118.49719,96.92564,117.19003,155.02487,108.38128,75.17425,147.77171,55.48614,73.73664,86.08539,51.05292,54.45437,61.12846,62.40781,46.32605,55.96026,44.75308,77.79596,57.19715
"hsa.miR.106a.5p",4.58713,3.71406,4.62672,6.98074,2.87955,3.00631,2.93237,3.60345,4.24948,1.38461,7.23582,8.30533,7.58195,4.51094,5.46255,2.09672,1.55916,6.03775,3.6128,5.5702,3.34152,4.93771,4.13363,6.34042,4.35515,4.15384,9.4478,4.98535,6.99321,3.53613,4.81125,3.54502,4.48993,4.55626,4.04745,11.01007,3.07162,10.1912,8.77369,6.81284,3.03506,6.21251,3.17437,4.3176,6.57932,7.55413,4.40024,2.70075,1.20175,7.19236,4.38088,6.79344,0.75688,10.60835,2.44596,3.50285,3.7941,7.22297,8.2865,6.00783,3.85562,5.76349,7.72702,7.44615,4.26076,5.61565,9.61264,8.02002,7.43175,7.46918,1.47034,2.40665,3.83082,3.59861,3.03304,3.42466,2.64553,5.40437,2.74403,2.1872,3.00997,2.05217
"hsa.miR.106b.5p",90.98357,66.15591,76.95238,76.90291,76.56933,58.5898,50.0001,54.75033,68.56849,68.04946,54.45881,55.65333,65.81623,60.4806,55.92985,52.39235,59.17842,50.68321,51.68396,69.54987,78.01974,49.18923,54.81391,73.94449,65.0771,45.48087,68.22329,72.98687,76.77106,62.79494,38.41769,65.10472,69.70117,71.35672,81.95165,59.76475,81.13312,62.75292,51.83117,73.70236,64.5479,55.44823,53.77712,91.24985,66.04985,81.52113,72.0096,67.68177,65.85721,44.66438,75.48298,59.56152,78.44646,62.63506,64.07044,48.42844,67.78922,85.76448,57.16948,77.44101,84.60966,79.32501,56.9269,69.93773,64.7962,47.84234,71.66488,53.99945,91.88935,62.93399,93.3943,93.52651,101.04167,68.18805,57.64058,71.11076,76.4424,84.86135,83.0114,67.29519,61.56786,68.6105
"hsa.miR.107",105.10829,76.96991,65.01931,66.81666,81.3585,84.15327,46.82322,44.4281,86.51491,51.74001,60.44208,59.09717,99.15063,80.69702,62.76593,52.12671,86.49932,52.90184,61.0877,59.3064,67.02619,78.73462,77.43375,72.00022,60.69809,35.29783,70.94143,54.60028,83.96286,106.89228,52.99446,67.90661,78.49923,106.15355,124.90662,84.21339,114.22422,83.1645,66.46882,109.4299,69.0955,56.50881,60.1785,216.16555,83.7521,85.51326,142.03114,54.04334,79.52256,69.43017,88.0918,46.40908,118.48253,78.62168,76.49855,67.40425,117.19136,148.28601,49.41804,81.24923,84.68373,107.87593,53.55433,87.18802,130.43526,77.9801,81.81111,65.12507,100.08538,83.76149,93.91736,83.58552,74.08102,60.92774,67.8806,81.81667,72.23299,88.51277,95.11792,79.47305,72.94714,67.18719
"hsa.miR.10a.5p",14.68161,15.95903,17.3952,12.69701,12.95024,17.30878,15.68696,14.93357,10.97631,10.89536,11.37811,12.04007,12.09024,16.19586,10.26668,16.2521,19.24576,11.27359,10.27848,11.93593,12.40846,12.17449,16.43416,10.87724,16.53289,9.55174,14.61975,18.78178,8.06381,13.59086,12.48819,15.12078,10.32064,11.78996,12.35593,10.93469,10.53092,15.38586,18.80018,10.36076,17.18181,12.78807,14.74642,13.15354,16.82993,9.46275,13.71035,4.8788,12.79258,2.04345,11.54741,9.04521,13.42519,5.61394,7.82258,4.18657,9.50806,11.28799,6.45652,4.97845,14.87597,4.07418,7.63449,4.27434,10.83947,5.73948,5.41764,9.78136,10.03446,10.29464,9.45079,11.94045,5.56978,6.17372,14.38203,5.24874,4.86217,15.78866,4.07198,5.84797,6.27165,4.3619
